"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","8","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","2. Несколько записей","","twoOwners_getDifferentIds",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","2. Граничные случаи дат","","birthDateCanBeChanged",""
"passed","","","37","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","1. Контракт для разных ID питомцев","","visitsForDifferentPetIds(int)[1]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","3. Типы питомцев","","standardPetTypes(String)[6]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousLastNames(String)[5]",""
"passed","Sun May 31 23:33:15 UTC 2026","Sun May 31 23:33:15 UTC 2026","153","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","createOwner_validData_returns201AndAllFields","createOwner_validData_returns201AndAllFields()","POST /owners с валидными данными должен вернуть 201 и все поля ответа"
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","3. Типы питомцев","","standardPetTypes(String)[5]",""
"passed","","","15","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","1. Контракт для разных ID питомцев","","visitsForDifferentPetIds(int)[5]",""
"passed","","","32","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","1. Массовые операции","","tenOwners_savedSuccessfully",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","3. Города","","variousCities(String)[2]",""
"passed","","","25","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","1. Массовые операции","","fiveOwners_uniqueIds",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","3. Модель Owner — базовые свойства","","ownerFirstNameSetAndGet",""
"passed","","","10","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","2. Телефонные номера","","variousPhoneFormats(String)[1]",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","singleCharName",""
"passed","","","125","","org.petclinic.tests.PetApiTest","","org.petclinic.tests.PetApiTest","","getPetTypes_returns200WithNonEmptyList",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","3. Типы питомцев","","replaceType",""
"passed","","","142","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","createOwner_invalidTelephone_returns400",""
"passed","","","95","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","getOwner_nonExistentId_returnsNoRealOwner",""
"passed","","","20","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","2. Корректность данных","","twoVisits_bothPresent",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","2. Модель PetType","","twoDifferentTypes",""
"passed","","","21","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","1. Контракт формата ответа","","visitHasIdField",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","variousPetNames(String)[5]",""
"passed","","","7","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","4. Owner — управление списком питомцев","","addedPetKeepsName",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousFirstNames(String)[5]",""
"passed","","","16","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","1. Контракт для разных ID питомцев","","visitsForDifferentPetIds(int)[3]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousLastNames(String)[1]",""
"passed","Sun May 31 23:33:21 UTC 2026","Sun May 31 23:33:21 UTC 2026","53","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","createPet_nonExistentOwner_returns404","createPet_nonExistentOwner_returns404()","POST /owners/{id}/pets для несуществующего владельца → 404"
"passed","","","126","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","updateOwner_existingId_returns204",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","petNameSetAndGet",""
"passed","","","27","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","2. Контракт содержимого визитов","","fiveVisitsInResponse",""
"passed","Sun May 31 23:33:04 UTC 2026","Sun May 31 23:33:06 UTC 2026","2497","","VetApiTest — REST API ветеринаров","","org.petclinic.tests.VetApiTest","getVets_eachVetHasRequiredFields","getVets_eachVetHasRequiredFields()","Каждый ветеринар содержит поля: firstName, lastName, specialties, nrOfSpecialties"
"passed","","","1030","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","3. Обработка ошибок","","serviceUnavailable_throws",""
"passed","","","6","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","1. Базовые CRUD-операции","","findByMissingId_returnsEmpty",""
"passed","","","2","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","newPetHasNoBirthDate",""
