GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers,CustomersServiceApplication,5,3,0,0,2,1,1,1,1,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,PetType,7,10,0,0,3,4,2,3,2,3
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,Pet,86,60,14,0,18,14,11,10,4,10
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,Owner,30,78,0,2,8,26,1,16,1,15
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.config,MetricConfig,0,25,0,0,0,3,0,4,0,4
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,OwnerRequest,18,0,0,0,1,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,OwnerResource,56,13,0,0,9,5,5,2,5,2
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetResource,99,13,0,0,20,5,8,2,8,2
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetRequest,15,0,0,0,1,0,1,0,1,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetDetails,38,0,0,0,3,0,2,0,2,0
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web.mapper,OwnerEntityMapper,22,3,0,0,6,1,1,1,1,1
