"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","0","123","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Сквозной сценарий: владелец → питомец → визит → обновление","1","0","0","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Управление владельцами — полный CRUD через HTTP API","0","0","9","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Получение владельца по ID","0","0","2","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Управление ветеринарами — просмотр справочника специалистов","0","0","3","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Список ветеринаров","0","0","2","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Обновление владельца","0","0","3","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Управление питомцами — CRUD операции через HTTP API","0","0","5","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Обновление питомца","0","0","1","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Структура данных ветеринара","0","0","1","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Типы питомцев","0","0","1","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Создание питомца","0","0","2","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Получение питомца по ID","0","0","1","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Создание владельца","0","0","3","0","0"
"Стратегия тестирования микросервисов","REST API тестирование — REST Assured","Список владельцев","0","0","1","0","0"
