GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers,CustomersServiceApplication,5,3,0,0,2,1,1,1,1,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,PetType,0,17,0,0,0,7,0,5,0,5
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,Pet,46,100,14,0,7,25,8,13,1,13
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.model,Owner,0,108,0,2,0,34,0,17,0,16
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.config,MetricConfig,0,25,0,0,0,3,0,4,0,4
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,OwnerRequest,0,18,0,0,0,1,0,1,0,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,OwnerResource,0,79,0,0,0,15,0,8,0,8
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetResource,0,112,0,0,0,25,0,10,0,10
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetRequest,0,15,0,0,0,1,0,1,0,1
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web,PetDetails,0,38,0,0,0,3,0,2,0,2
spring-petclinic-customers-service,org.springframework.samples.petclinic.customers.web.mapper,OwnerEntityMapper,0,25,0,0,0,7,0,2,0,2
